Nova name                     | Coordinates           | Eruption date | mag. | Comments
GOTO25hfy (AT2025xvc)         | 05:42:06.46 -67:01:06.7 | 2025-09-17 | 12.3  | ATel #17400 - https://www.astronomerstelegram.org/?read=17400
LMCN 1968-12a (2024)          | 05:09:58.39 -71:39:52.7 | 2024-08-01 | 10.0  | ATel #16752 - https://www.astronomerstelegram.org/?read=16752
ASASSN-24by                   | 04:55:03.93 -65:55:56.9 | 2024-03-18 | 10.2  | ATel #16545 - https://www.astronomerstelegram.org/?read=16545
ASASSN-23hd                   | 04:46:52.43 -65:53:51.2 | 2023-10-13 | 10.37 | ATel #16294 - https://www.astronomerstelegram.org/?read=16294
PNV J05222788-6936333         | 05:22:27.88 -69:36:33.3 | 2022-05-21 | 10.05 | ATel #15392 - https://www.astronomerstelegram.org/?read=15392
ASASSN-20ni                   | 00:48:44.58 -72:53:53.8 | 2020-10-26 | 12.2  | ATel #14122 - https://astronomerstelegram.org/?read=14122
LMCN 1968-12a (2020)          | 05:09:58.40 -71:39:52.7 | 2020-05-12 | 13.7  | AAVSO report - https://www.aavso.org/lmc-v1341-new-recurrent-nova-eruption
PNV J05145365-7009486         | 05:14:53.65 -70:09:48.6 | 2019-11-11 | 10.5  | ATel #13287 - https://www.astronomerstelegram.org/?read=13287
TCP J05293666-7009566         | 05:29:36.66 -70:09:56.4 | 2019-07-27 | 10.7  | ATel #12963 - https://www.astronomerstelegram.org/?read=12963
ASASSN-19qv                   | 01:04:30.20 -73:46:22.7 | 2019-07-04 | 11.8  | ATel #12907 - https://www.astronomerstelegram.org/?read=12907
ASASSN-18pf                   | 05:41:46.46 -71:48:37.6 | 2018-07-13 | 10.7  | ATel #11857 - https://www.astronomerstelegram.org/?read=11857
ASASSN-18jj                   | 06:26:20.76 -69:45:46.3 | 2018-05-03 | 12.1  | ATel #11610 - https://www.astronomerstelegram.org/?read=11610
MASTER OT J010603.18-744715.8 | 01:06:03.27 -74:47:15.8 | 2016-10-09 |  8.5  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
OGLE-2016-NOVA-01             | 05:09:58.40 -71:39:52.7 | 2016-01-21 | 11.5  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
ASASSN-15fd                   | 05:56:41.11 -75:09:38.0 | 2015-03-15 | 11.5  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
OGLE-2013-NOVA-02             | 05:57:58.38 -74:54:09.4 | 2013-10-16 | 11.2  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
OGLE-2012-NOVA-03             | 05:20:21.09 -73:05:43.3 | 2012-10-25 | 11.5  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
OGLE-2012-NOVA-12             | 00:48:07.28 -72:46:34.0 | 2012-09-17 | 12.1  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
OGLE-2012-NOVA-02             | 00:32:55.06 -74:20:19.7 | 2012-06-05 | 11.0  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 2012-03a                 | 04:54:56.82 -70:26:56.3 | 2012-03-26 | 10.7  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
MAXI J0158-744                | 01:59:25.87 -74:15:28.0 | 2011-11-11 | 14.3  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
OGLE-2011-NOVA-03             | 05:43:48.46 -69:19:31.0 | 2011-08-14 | 13.1  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
RN LMCN 1968-12a              | 05:09:58.40 -71:39:52.7 | 2010-11-21 | 12.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 2009-05a                 | 05:31:26.37 -67:05:40.0 | 2009-05-04 | 12.1  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
LMCN 2009-02a                 | 05:40:44.20 -66:40:11.6 | 2009-02-05 | 10.6  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
OGLE-2008-NOVA-02             | 00:55:37.74 -72:03:14.4 | 2008-10-31 | 13.0  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
OGLE-2006-NOVA-02             | 00:57:03.87 -73:10:11.6 | 2006-08-10 | 11.8  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 2005-11a                 | 05:10:32.68 -69:12:35.7 | 2005-11-19 | 11.5  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
XMMSL1 J060636.2-694933       | 06:06:36.44 -69:49:34.3 | 2005-09-28 | 11.4  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 2005-08a                 | 01:15:00.07 -73:25:37.6 | 2005-08-06 | 11.6  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 2004-10a                 | 05:56:42.42 -68:54:34.8 | 2004-10-20 | 10.9  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
OGLE-2004-NOVA-01             | 00:55:03.21 -73:38:03.5 | 2004-02-02 | 14.2  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 2003-06a                 | 05:08:25.59 -68:26:22.3 | 2003-06-17 | 11.0  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 2002-10a                 | 00:56:30.44 -72:36:28.5 | 2002-10-16 | 12.3  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
LMCN 2002-02a                 | 05:36:46.38 -71:35:34.4 | 2002-02-27 | 10.1  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
SMCN 2001-10a                 | 00:46:27.92 -73:29:45.5 | 2001-10-09 | 12.1  | MPE SMC list - https://www.mpe.mpg.de/~m31novae/opt/smc/SMC_table.html
OGLE-2001-NOVA-01             | 04:48:57.50 -69:55:35.7 | 2001-09-13 | 13.3  | MPE LMC list - https://www.mpe.mpg.de/~m31novae/opt/lmc/LMC_table.html
